year|state_code|state|county_code|county|crop_code|crop|plan_code|plan|stage_code|damage_cause_code|damage_description|month|month_abbr|acres|indemnity
2014|27|MN|001|Aitkin|0041|CORN|02|RP|UH|01|Decline in Price|05|MAY|.7920000000|169.1000000000
2014|27|MN|001|Aitkin|0041|CORN|02|RP|H|01|Decline in Price|10|OCT|14.0000000000|978.0000000000
2014|27|MN|001|Aitkin|0041|CORN|01|YP|H|31|Excess Moisture/Precipitation/Rain|06|JUN|56.7000000000|4452.0000000000
2014|27|MN|001|Aitkin|0041|CORN|01|YP|P2|31|Excess Moisture/Precipitation/Rain|05|MAY|21.4000000000|1671.0000000000
2014|27|MN|001|Aitkin|0041|CORN|02|RP|P2|31|Excess Moisture/Precipitation/Rain|05|MAY|58.1000000000|8595.0000000000
2014|27|MN|001|Aitkin|0041|CORN|02|RP|PT|31|Excess Moisture/Precipitation/Rain|05|MAY|140.7500000000|30799.5000000000
2014|27|MN|001|Aitkin|0041|CORN|02|RP|UH|31|Excess Moisture/Precipitation/Rain|06|JUN|183.7500000000|27704.0000000000
2014|27|MN|001|Aitkin|0041|CORN|02|RP|UH|31|Excess Moisture/Precipitation/Rain|05|MAY|118.9580000000|18505.9000000000
2014|27|MN|001|Aitkin|0041|CORN|02|RP|UH|31|Excess Moisture/Precipitation/Rain|10|OCT|49.0000000000|1154.0000000000
2014|27|MN|001|Aitkin|0041|CORN|01|YP|UH|31|Excess Moisture/Precipitation/Rain|06|JUN|132.7000000000|16891.0000000000
2014|27|MN|001|Aitkin|0041|CORN|01|YP|UH|31|Excess Moisture/Precipitation/Rain|07|JUL|19.2000000000|657.0000000000
2014|27|MN|001|Aitkin|0041|CORN|02|RP|P2|31|Excess Moisture/Precipitation/Rain|06|JUN|1680.5000000000|277812.0000000000
2014|27|MN|001|Aitkin|0041|CORN|02|RP|PT|31|Excess Moisture/Precipitation/Rain|06|JUN|220.5500000000|44180.5000000000
2014|27|MN|001|Aitkin|0041|CORN|02|RP|UH|44|Cold Wet Weather|06|JUN|344.6000000000|29400.0000000000
2014|27|MN|001|Aitkin|0041|CORN|02|RP|UH|44|Cold Wet Weather|05|MAY|39.6000000000|8455.0000000000
