Year,Geo Level,State,County,Data Item,Value
2014,COUNTY,MINNESOTA,LYON,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","27,643,000"
2014,COUNTY,MINNESOTA,MURRAY,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","27,928,000"
2014,COUNTY,MINNESOTA,MURRAY,"CORN, SILAGE - ACRES HARVESTED","5,400"
2014,COUNTY,MINNESOTA,NOBLES,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","32,533,000"
2014,COUNTY,MINNESOTA,OTHER (COMBINED) COUNTIES,"CORN, SILAGE - ACRES HARVESTED","45,440"
2014,COUNTY,MINNESOTA,PIPESTONE,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","15,270,000"
2014,COUNTY,MINNESOTA,REDWOOD,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","39,126,000"
2014,COUNTY,MINNESOTA,ROCK,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","19,743,000"
2013,COUNTY,MINNESOTA,COTTONWOOD,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","30,976,000"
2013,COUNTY,MINNESOTA,COTTONWOOD,"CORN, SILAGE - ACRES HARVESTED",900
2013,COUNTY,MINNESOTA,JACKSON,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","35,037,000"
2013,COUNTY,MINNESOTA,LINCOLN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","19,645,000"
2013,COUNTY,MINNESOTA,LYON,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","29,878,000"
2013,COUNTY,MINNESOTA,MURRAY,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","32,799,000"
2013,COUNTY,MINNESOTA,NOBLES,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","35,532,000"
2013,COUNTY,MINNESOTA,OTHER (COMBINED) COUNTIES,"CORN, SILAGE - ACRES HARVESTED","35,100"
2013,COUNTY,MINNESOTA,PIPESTONE,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","19,178,000"
2013,COUNTY,MINNESOTA,REDWOOD,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","41,958,000"
2013,COUNTY,MINNESOTA,ROCK,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","25,397,000"
2012,COUNTY,MINNESOTA,COTTONWOOD,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","27,426,000"
2012,COUNTY,MINNESOTA,COTTONWOOD,"CORN, SILAGE - ACRES HARVESTED","1,130"
2012,COUNTY,MINNESOTA,JACKSON,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","35,448,000"
2012,COUNTY,MINNESOTA,LINCOLN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","17,546,000"
2012,COUNTY,MINNESOTA,LYON,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","29,452,000"
2012,COUNTY,MINNESOTA,MURRAY,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","26,682,000"
2012,COUNTY,MINNESOTA,NOBLES,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","30,469,000"
2012,COUNTY,MINNESOTA,OTHER (COMBINED) COUNTIES,"CORN, SILAGE - ACRES HARVESTED","62,370"
2012,COUNTY,MINNESOTA,PIPESTONE,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","14,505,000"
2012,COUNTY,MINNESOTA,REDWOOD,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","40,029,000"
2012,COUNTY,MINNESOTA,ROCK,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","21,953,000"
2011,COUNTY,MINNESOTA,COTTONWOOD,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","28,785,000"
2011,COUNTY,MINNESOTA,JACKSON,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","31,345,000"
2011,COUNTY,MINNESOTA,LINCOLN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","16,290,000"
2011,COUNTY,MINNESOTA,LYON,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","26,065,000"
2011,COUNTY,MINNESOTA,MURRAY,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","29,160,000"
2011,COUNTY,MINNESOTA,NOBLES,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","35,525,000"
2011,COUNTY,MINNESOTA,OTHER (COMBINED) COUNTIES,"CORN, SILAGE - ACRES HARVESTED","44,460"
2011,COUNTY,MINNESOTA,PIPESTONE,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","15,140,000"
2011,COUNTY,MINNESOTA,REDWOOD,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","35,330,000"
2011,COUNTY,MINNESOTA,REDWOOD,"CORN, SILAGE - ACRES HARVESTED","1,140"
2011,COUNTY,MINNESOTA,ROCK,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","24,060,000"
2011,COUNTY,MINNESOTA,ROCK,"CORN, SILAGE - ACRES HARVESTED","10,400"
2010,COUNTY,MINNESOTA,COTTONWOOD,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","30,102,000"
2010,COUNTY,MINNESOTA,JACKSON,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","36,112,000"
2010,COUNTY,MINNESOTA,LINCOLN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","17,100,000"
2010,COUNTY,MINNESOTA,LINCOLN,"CORN, SILAGE - ACRES HARVESTED","2,610"
2010,COUNTY,MINNESOTA,LYON,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","29,581,000"
2010,COUNTY,MINNESOTA,MURRAY,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","30,473,000"
2010,COUNTY,MINNESOTA,NOBLES,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","33,933,000"
2010,COUNTY,MINNESOTA,OTHER (COMBINED) COUNTIES,"CORN, SILAGE - ACRES HARVESTED","56,490"
2010,COUNTY,MINNESOTA,PIPESTONE,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","17,410,000"
2010,COUNTY,MINNESOTA,REDWOOD,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","42,962,000"
2010,COUNTY,MINNESOTA,ROCK,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","23,785,000"
2009,COUNTY,MINNESOTA,COTTONWOOD,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","31,629,000"
2009,COUNTY,MINNESOTA,JACKSON,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","34,926,000"
2009,COUNTY,MINNESOTA,LINCOLN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","17,644,000"
2009,COUNTY,MINNESOTA,LINCOLN,"CORN, SILAGE - ACRES HARVESTED","4,500"
2009,COUNTY,MINNESOTA,LYON,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","30,809,000"
2009,COUNTY,MINNESOTA,MURRAY,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","31,709,000"
2009,COUNTY,MINNESOTA,NOBLES,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","35,035,000"
2009,COUNTY,MINNESOTA,OTHER (COMBINED) COUNTIES,"CORN, SILAGE - ACRES HARVESTED","56,500"
2009,COUNTY,MINNESOTA,PIPESTONE,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","16,774,000"
2009,COUNTY,MINNESOTA,REDWOOD,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","44,176,000"
2009,COUNTY,MINNESOTA,ROCK,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","22,900,000"
2008,COUNTY,MINNESOTA,COTTONWOOD,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","30,500,000"
2008,COUNTY,MINNESOTA,JACKSON,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","30,750,000"
2008,COUNTY,MINNESOTA,LINCOLN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","13,770,000"
2008,COUNTY,MINNESOTA,LYON,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","27,370,000"
2008,COUNTY,MINNESOTA,MURRAY,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","29,140,000"
2008,COUNTY,MINNESOTA,NOBLES,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","33,850,000"
2008,COUNTY,MINNESOTA,OTHER (COMBINED) COUNTIES,"CORN, SILAGE - ACRES HARVESTED","53,000"
2008,COUNTY,MINNESOTA,PIPESTONE,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","15,650,000"
2008,COUNTY,MINNESOTA,REDWOOD,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","38,600,000"
2008,COUNTY,MINNESOTA,ROCK,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","24,080,000"
2007,COUNTY,MINNESOTA,COTTONWOOD,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","32,258,800"
2007,COUNTY,MINNESOTA,COTTONWOOD,"CORN, SILAGE - ACRES HARVESTED","4,500"
2007,COUNTY,MINNESOTA,JACKSON,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","31,996,900"
2007,COUNTY,MINNESOTA,LINCOLN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","17,197,200"
2007,COUNTY,MINNESOTA,LINCOLN,"CORN, SILAGE - ACRES HARVESTED","3,900"
2007,COUNTY,MINNESOTA,LYON,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","28,545,000"
2007,COUNTY,MINNESOTA,LYON,"CORN, SILAGE - ACRES HARVESTED","4,700"
2007,COUNTY,MINNESOTA,MURRAY,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","28,809,900"
2007,COUNTY,MINNESOTA,MURRAY,"CORN, SILAGE - ACRES HARVESTED","7,000"
2007,COUNTY,MINNESOTA,NOBLES,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","32,970,000"
2007,COUNTY,MINNESOTA,NOBLES,"CORN, SILAGE - ACRES HARVESTED","7,000"
2007,COUNTY,MINNESOTA,OTHER (COMBINED) COUNTIES,"CORN, SILAGE - ACRES HARVESTED","7,100"
2007,COUNTY,MINNESOTA,PIPESTONE,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","14,182,000"
2007,COUNTY,MINNESOTA,PIPESTONE,"CORN, SILAGE - ACRES HARVESTED","7,600"
2007,COUNTY,MINNESOTA,REDWOOD,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","38,391,600"
2007,COUNTY,MINNESOTA,REDWOOD,"CORN, SILAGE - ACRES HARVESTED","3,200"
2007,COUNTY,MINNESOTA,ROCK,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","22,400,000"
2006,COUNTY,MINNESOTA,COTTONWOOD,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","30,323,600"
2006,COUNTY,MINNESOTA,COTTONWOOD,"CORN, SILAGE - ACRES HARVESTED","2,800"
2006,COUNTY,MINNESOTA,JACKSON,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","28,608,000"
2006,COUNTY,MINNESOTA,JACKSON,"CORN, SILAGE - ACRES HARVESTED","1,800"
2006,COUNTY,MINNESOTA,LINCOLN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","14,420,500"
2006,COUNTY,MINNESOTA,LINCOLN,"CORN, SILAGE - ACRES HARVESTED","3,700"
2006,COUNTY,MINNESOTA,LYON,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","29,073,000"
